trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.6137457494888116}",20,0,-67.4545484351031,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.6058201566434629}",20,10,-21.25187998555615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.5978339822872982}",30,19,-35.4331902922523,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5897880250310983}",25,9,-71.2744039238729,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5816830894638835}",25,5,-2.380217186136922,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5735199860724567}",30,0,-82.40781067557361,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.5652995311603544}",20,0,-106.68660225035426,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.5570225467662173}",35,0,-69.8917421614451,"{0: 25, 1: 4, 2: 5, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.5486898605815876}",20,0,13.460854821204729,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,-1.4797732769941496,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.5318607213743555}",25,11,-26.112336628631812,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.5233659512516496}",25,0,-11.905832572895886,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5148188449699553}",25,13,1.0715931630052562,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,0,-12.961604123663895,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.497571047891727}",20,10,17.1549052848176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.48887208186052755}",20,15,1.134231168774772,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.48012422902853413}",20,0,-29.10073719594403,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.47132836417373997}",30,15,9.858263531664631,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4624853668753008}",20,5,-16.053928070203018,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4535961214255773}",20,11,14.395719357225277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.44466151674170673}",35,20,20.684583026167424,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.43568244627671204}",25,17,14.821344582895877,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.42665980793015723}",25,0,-87.0613538579038,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.41759450395835795}",35,12,-27.27900447918331,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,4,-19.596564272135133,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3993395294062732}",20,8,14.179589284496748,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,11,-27.4902621796873,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3809248243668818}",25,2,12.864088633054715,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
